text,label,sentiment,source,model
Q3 earnings report reveals a 12% year-over-year revenue growth for tech giant XYZ Corp.,2,positive,synthetic,mistral:7b
"ALEXANDRIA , Va. , Jan. 9 -- United States Patent no. 7,862,685 , issued on Jan. 4 , was assigned to Kemira Chemicals Inc. ( Marietta , Ga. ) .",1,neutral,original,—
"In his current position , Manty has worked since 1996 .",1,neutral,original,—
"Tech giant Microsoft announces the launch of its new cloud-based productivity suite, aimed at enhancing user experience and expanding business opportunities.",1,neutral,synthetic,mistral:7b
IBM announces a new cloud-based AI solution aimed at enhancing supply chain efficiency.,1,neutral,synthetic,mistral:7b
Shares of TechCorp surge 10% after Q2 results reveal a 30% year-over-year revenue growth and an impressive $500 million profit increase.,2,positive,synthetic,mistral:7b
"Both operating profit and net sales for the six-month period increased , respectively from EUR0 .4 m and EUR3 .2 m , as compared to the corresponding period in 2005 .",2,positive,original,—
No financial or pricing details were disclosed .,1,neutral,original,—
"You need to be ready when the window opens up , Rosberg said .",1,neutral,original,—
"Technopolis and the St. Petersburg government signed a cooperation memorandum in October 2005 to set up a techno-park in the Neudorf production zone in the village of Strelny , in the St. Petersburg suburbs .",2,positive,original,—
The value of the orders is over EUR 10mn .,1,neutral,original,—
Goldman Sachs announces the appointment of Jane Thompson as Head of its Global Equities Division.,1,neutral,synthetic,mistral:7b
IBM announces the launch of its new cloud-based AI platform for small businesses.,1,neutral,synthetic,mistral:7b
Stock prices surge as Q3 earnings report reveals a 20% profit increase for XYZ Corporation.,2,positive,synthetic,mistral:7b
"A maximum of 666,104 new shares can further be subscribed for by exercising B options under the 2004 stock option plan .",1,neutral,original,—
Pharmaceutical market in Netherlands Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Netherlands .,1,neutral,original,—
Demand was brisk as expected and order levels have remained high .,2,positive,original,—
"Rohwedder Group is an automotive supplies , telecommunications and electronics industry provider for customers in Europe , North America and Asia .",1,neutral,original,—
Amazon announces a new solar energy project in India to power its data centers and reduce carbon footprint.,1,neutral,synthetic,mistral:7b
Finnish electronics manufacturer PKC Group Oyj ( OMX Helsinki : PKC1V ) said on Wednesday ( 31 December ) that it has completed the acquisition of MAN Nutzfahrzeuge AG 's cable harness business from MAN Star Trucks & Buses Spolka zoo in Poland .,2,positive,original,—
"Through the new production lines at the Novator mill in Veliky Ustjug , Vologda Oblast , Sveza will change its current 1.5 m by 1.5 m birch plywood production targeting the domestic market to produce 1.5 m by 3.0 m overlaid birch plywood for the global market .",1,neutral,original,—
"The order also covers design services , hardware , software licences , as well as maintenance services over six years .",1,neutral,original,—
"Honkarakenne 's customer in this project is one of the biggest real estate companies in Kazakhstan , according to the company .",1,neutral,original,—
"Finnish Suominen Corporation that makes wipes , nonwovens , and flexible packaging , expects changes in the market situation to reduce sales of Suominen 's nonwovens and wet wipes from the previously estimated volumes .",0,negative,original,—
"However , the orders received during the period under review fell by 17 % quarter-on-quarter from the EUR 213 million recorded in the second quarter of 2010 .",0,negative,original,—
"Because the application can be considered as a hacking application , it is classified by F-Secure as riskware .",1,neutral,original,—
"Thus the group 's balance sheet will have about EUR25 .8 m of goodwill , the company added .",1,neutral,original,—
"It 's even a little bit higher than Yara 's multiples on itself , ' an analyst in Helsinki said .",1,neutral,original,—
"Amazon announces the launch of its new solar-powered delivery drone fleet, set to begin testing in select regions next year.",1,neutral,synthetic,mistral:7b
"Q3 earnings report reveals a 12% profit increase for XYZ Corporation, exceeding analysts' expectations.",2,positive,synthetic,mistral:7b
Q3 earnings report reveals a 15% profit increase for tech giant ABC.,2,positive,synthetic,mistral:7b
Pretax loss totalled EUR 162.3 mn compared to a profit of EUR 253.5 mn in 2007 .,0,negative,original,—
"In 2007 Talentum will disclose three Interim Reports - Q1 ( January - March ) on Friday , 27 April , 2007 - Q2 ( April - June ) on Friday , 20 July , 2007 - Q3 ( July - September ) on Friday , 26 October , 2007 .",1,neutral,original,—
"As of July 2 , 2007 , the market cap segments will be updated according to the average price in May 2007 .",1,neutral,original,—
Shares in XYZ Corp plummeted 10% after the company issued a profit warning for Q3 due to unexpected supply chain disruptions.,0,negative,synthetic,mistral:7b
Tech giant Apple announces the launch of a new app development platform for small businesses.,1,neutral,synthetic,mistral:7b
"Markets had been expecting a poor performance , and the company 's stock was up 6 percent at  x20ac 23.89 US$ 33.84 in early afternoon trading in Helsinki .",2,positive,original,—
Amazon announces the launch of a new solar energy project in California.,1,neutral,synthetic,mistral:7b
"In Asia earlier , Japan 's Nikkei index fell 0.62 percent and Hong Kong 's Hang Seng Index rose 0.56 percent .",1,neutral,original,—
"It projected revenue of $ 2.2 billion to $ 2.3 billion , slightly higher than analyst estimates of $ 2.19 billion .",2,positive,original,—
L&T 's net profit for the whole 2010 dropped to EUR 36 million from EUR 45 million for 2009 .,0,negative,original,—
Finnish fibers and plastic products maker Suominen Corporation said its net loss narrowed to 1.6 mln euro $ 2.0 mln in the first nine months of 2006 from 2.16 mln euro $ 2.7 mln in the same period of 2005 .,2,positive,original,—
Finnish meat company Atria can no longer promise a sufficient amount of domestic beef to its customers .,0,negative,original,—
"According to the company , a decision in the issue will be made in the summer of 2010 , at the earliest , and in the summer of 2011 , at the latest .",1,neutral,original,—
( A spokesperson told WWD to expect a 50-50 mix of clothing and home decor . ),1,neutral,original,—
IBM announces the launch of a new cloud-based AI platform for businesses in the healthcare sector.,1,neutral,synthetic,mistral:7b
"CapMan , with offices in Helsinki , Stockholm , Copenhagen and Oslo , manages Nordic buyout , mezzanine , technology , life science and real estate funds with approximately EUR2 .6 bn in total capital .",1,neutral,original,—
"Global tech giant Samsung announces the launch of its new foldable smartphone series, set to hit markets in Q4 2023.",1,neutral,synthetic,mistral:7b
"After piloting , the instrument will be further developed according to the experiences gained .",1,neutral,original,—
Amazon announces the launch of a new eco-friendly packaging initiative.,1,neutral,synthetic,mistral:7b
"In accordance with the terms and conditions of Alma Media 's 2006 option program , the share subscription price for the 2006A option rights was EUR 4.88 per share and the book countervalue EUR 0.60 per share .",1,neutral,original,—
"Elcoteq SE Stock Exchange Announcement February 4 , 2009 at 10.00 am ( EET ) Elcoteq will publish its financial statements bulletin 2008 on Wednesday , February 11 , at 9.00 am ( EET ) .",1,neutral,original,—
"Microsoft announces the launch of a new cloud-based productivity suite, aimed at enhancing collaboration for businesses.",1,neutral,synthetic,mistral:7b
"Amazon announces plans to open a new logistics center in Ohio, set to create over 1500 jobs by 2023.",1,neutral,synthetic,mistral:7b
"Sponda is a property investment company , specialising in commercial properties in the largest cities in Finland and Russia .",1,neutral,original,—
Net sales grew in the period to  x20ac 402 million $ 585US million from  x20ac 401 million in 2006 .,2,positive,original,—
"The casing comprises a first side casing member provided with the first side vat segment and a second side casing member provided with the second side vat segment , at least the first side casing member being pivotable about a rotation axis .",1,neutral,original,—
"The decision reflects the underutilisation of the line , which produces nonwovens used in medical and wipes applications as well as for the automotive industry .",1,neutral,original,—
Choose from a Giant Countdown with red head or rainbow trout -- or the Giant Shad Rap in perch color .,1,neutral,original,—
The Department Store Division reported an increase in sales of 4 per cent .,2,positive,original,—
IBM announces the launch of a new cloud-based analytics platform for healthcare providers.,1,neutral,synthetic,mistral:7b
Operating profit rose to EUR 3.2 mn from EUR 1.0 mn in the corresponding period in 2008 .,2,positive,original,—
"The remaining amount will be funded through debt , the Danish bank said .",1,neutral,original,—
"HELSINKI ( Thomson Financial ) - Kone said it has won four orders in Saudi Arabia , United Arab Emirates and Qatar worth 40 mln eur .",2,positive,original,—
Castecka said the town hall would hold talks with other investors interested in the zone .,1,neutral,original,—
This solution is an extension to the existing online mediation solution delivered earlier by Comptel and IBM .,1,neutral,original,—
"HK Ruokatalo produces many turkey products , such as cold cuts .",1,neutral,original,—
"Tech giant Apple Inc. announces a new product launch event scheduled for October 18, focusing on updated iPhone and iPad models.",1,neutral,synthetic,mistral:7b
The divested activities had net sales of EUR 145.1 million in 2009 and an operating profit of EUR 8.9 million .,1,neutral,original,—
The value of the orders is over EUR 25mn .,1,neutral,original,—
"Neste oil 's board proposed 1.00 eur dividend for the full-year 2007 , compared with 0.90 eur a year ago .",2,positive,original,—
"Tech giant Amazon reports a 15% increase in Q3 profits, driven by strong consumer demand and strategic expansion.",2,positive,synthetic,mistral:7b
IBM announces the launch of its new cloud-based data analytics platform for small businesses.,1,neutral,synthetic,mistral:7b
Tech giant Q3 earnings report reveals a 15% profit increase compared to last year.,2,positive,synthetic,mistral:7b
Rapala said it estimates it will make savings of 1-2 mln eur a year by centralising its French operations at one site .,2,positive,original,—
Pretax profit rose to EUR 17.8 mn from EUR 14.9 mn in 2005 .,2,positive,original,—
"Cohen & Steers , Inc. : 5 534 530 shares representing 4.985 % of the share capital and voting rights .",1,neutral,original,—
IBM announces the launch of its new cloud-based AI analytics platform.,1,neutral,synthetic,mistral:7b
"Berling Capital , Umo Capital and Veikko Laine are the biggest shareholders in Amanda Capital .",1,neutral,original,—
The air traffic of Finland has been in stoppage since then .,0,negative,original,—
The event can also be viewed as a live webcast at www.cargotec.com .,1,neutral,original,—
"The utility will also provide services related to electricity management , such as hedging trades and risk management and reporting .",1,neutral,original,—
"In the sinter plant , limestone and coke breeze are mixed with the iron ore concentrate and sintered into lump form or sinter for use in the blast furnaces as a raw material for iron-making .",1,neutral,original,—
`` We are selling an information systems development business to the Finns .,1,neutral,original,—
RSA 's shares closed at 156.9 p at the time of going to press .,1,neutral,original,—
"Tech giant XYZ issues a profit warning, citing unexpected challenges in the second quarter and revising its full-year outlook downward.",0,negative,synthetic,mistral:7b
No pricing details were disclosed .,1,neutral,original,—
Strategic and operational business information is objectively reported .,1,neutral,original,—
We are pleased to invite you to join M-real 's international conference call at 3:00 p.m. EET .,1,neutral,original,—
"Tech giant Microsoft announces the launch of its new cloud-based productivity suite, set to be available globally from next quarter.",1,neutral,synthetic,mistral:7b
In the meantime the CEO 's duties will be assumed by Outotec 's Deputy CEO Seppo Rantakari .,1,neutral,original,—
"Finnish Ponsse has signed an agreement with Babcock Africa for the distribution and support of Ponsse forest machines , harvester heads , and information systems in South Africa .",2,positive,original,—
"However , Biohit estimates its total net sales will continue to grow in 2009 , and that favourable trends in net sales will lead to a profit in 2009 .",2,positive,original,—
"Olvi , which controls a 94 percent stake in Ragutis through A. Le Coq , said in its annual report published earlier this year that the Lithuanian brewery 's sales reached 15.04 million euros last year , a rise of 20.4 percent from 12.49 million euros in 2004 .",2,positive,original,—
"The result will also be burdened by increased fixed costs associated with operations in China , and restructuring costs in Japan .",0,negative,original,—
"- Inge Larsen (CFO), 29,045 shares , representing 0.50 % of the share capital .",1,neutral,original,—
"The Hayward , Calif.-based target designs active , casual and dress footwear , as well as boots and sandals .",1,neutral,original,—
"Q3 earnings report reveals a 15% profit increase for TechCorp, surpassing analyst expectations.",2,positive,synthetic,mistral:7b
"SysOpen Digia Plc , Press release , 7 February 2006 IBM Finland has rewarded its most distinguished partner companies for 2005 .",2,positive,original,—
IBM announces the launch of a new cloud-based AI platform for small businesses.,1,neutral,synthetic,mistral:7b
"At the request of Finnish media company Alma Media 's newspapers , research manager Jari Kaivo-oja at the Finland Futures Research Centre at the Turku School of Economics has drawn up a future scenario for Finland 's national economy by using a model developed by the University of Denver .",1,neutral,original,—
"The authorisation is in force until the end of the next Annual General Meeting and repeals the authorisation to acquire own shares given by the General Meeting held on April 4 , 2007 .",1,neutral,original,—
Tech giant Google announces the launch of a new cloud-based productivity suite for small businesses.,1,neutral,synthetic,mistral:7b
"LLC , a voice and data management solution provider to wireless companies with operations worldwide , will be transferring its U.S. deployment operations to the Finnish mobile giant , which includes civil works and site acquisition services .",1,neutral,original,—
"Commission income increased by 22 % to EUR 4.4 mn , and lending volume rose by 13.5 % .",2,positive,original,—
"- The Group -¦ s sales during the period were EUR 31.6 million EUR 36.6 million , 1-6/2007 and profit before taxes was EUR 0.2 1.3 million .",1,neutral,original,—
Q3 earnings report reveals a 15% year-on-year profit increase for technology giant XYZ Inc.,2,positive,synthetic,mistral:7b
Viking Line manages well with its current ferries .,2,positive,original,—
Operating profit decreased to EUR 11.2 mn from EUR 16.6 mn .,0,negative,original,—
"Amazon announces the launch of a new sustainability initiative, 'Green Tech,' aimed at reducing carbon emissions across its global supply chain.",1,neutral,synthetic,mistral:7b
Amazon announces plans to expand its renewable energy portfolio by investing in new wind farms.,1,neutral,synthetic,mistral:7b
The properties were purchased from Swedish private equity real estate firm Niam and Goldman Sachs ' Whitehall Street Real Estate Funds .,1,neutral,original,—
Tekla Structures 16 is ` all about you and your team ' and compatible with the Windows 7 operating system .,1,neutral,original,—
"The OMX Helsinki index was down 0.34 pct at 8,256.02 on turnover of 813.191 mln eur .",0,negative,original,—
Tech giant Microsoft announces a new strategic partnership with IBM to develop AI solutions for enterprise clients.,1,neutral,synthetic,mistral:7b
It is a disappointment to see the plan folded .,0,negative,original,—
"In the video above Marimekko 's design manager , Noora Niiininoski , explains that the brands are a natural fit for each other because they both have a timeless style .",1,neutral,original,—
Tech giant Microsoft announces the launch of its new cloud service for small businesses.,1,neutral,synthetic,mistral:7b
The costs of the new ropax vessels are 30 % lower than those of the present ones .,2,positive,original,—
Operating profit for the quarter April-June 2006 amounted to EUR42 .9 m on net sales of EUR156 .3 m.,1,neutral,original,—
"In stead of being based on a soft drink , as is usual , the Teho energy drink is made with fresh water .",1,neutral,original,—
`` There is no room to modify the share component as we have already indicated . '',1,neutral,original,—
Investment management and investment advisory services are the company 's sole line of business .,1,neutral,original,—
"Amazon announces the launch of a new delivery drone service, Prime Air Express, set to roll out in select cities by year-end.",1,neutral,synthetic,mistral:7b
"Operating result , excluding one-off items , totaled EUR 9.1 mn compared to EUR 10.6 mn in continuing operations , excluding one-off items in 2004 .",0,negative,original,—
"According to Viking Line 's Managing Director , Nils-Erik Eklund , the company 's Board of Directors is very satisfied with Viking Line 's performance .",2,positive,original,—
"The technology will become available to businesses from the fourth quarter , Nokia said .",1,neutral,original,—
"HELSINKI AFX - Cramo said it has agreed to sell Cramo Nederland BV CNL , its Dutch machinery and equipment rental unit , to Jaston Groep for an undisclosed sum .",1,neutral,original,—
"Entire paper mills may be set up , especially in the new EU member states .",1,neutral,original,—
A quick `` one-stop-shop '' to understand the company .,1,neutral,original,—
"Q3 earnings report shows a 15% revenue growth for Technology Co., surpassing analysts' expectations.",2,positive,synthetic,mistral:7b
"Tech giant Google reports a 15% Q3 earnings growth, surpassing analyst expectations.",2,positive,synthetic,mistral:7b
Q3 earnings report shows a 12% year-over-year increase in net profit for TechCo.,2,positive,synthetic,mistral:7b
"IBM announces the appointment of Jane Doe as its new Chief Financial Officer, effective from May 1st.",1,neutral,synthetic,mistral:7b
The company website is www.ahlstrom.com .,1,neutral,original,—
Microsoft announces the launch of its new cloud-based data analysis tool for small businesses.,1,neutral,synthetic,mistral:7b
Return on capital employed rose by 4.8 percentage points to 19.6 % .,2,positive,original,—
"Global technology giant Apple Inc. has announced the launch of its new product line, 'Apple One', a bundled service that combines multiple digital offerings under one subscription.",1,neutral,synthetic,mistral:7b
Q2 earnings report reveals a 15% year-on-year revenue growth for tech giant Microsoft.,2,positive,synthetic,mistral:7b
"According to Finnish financial services group Sampo 's CEO , Bj+Ârn Wahlroos , Danish Danske Bank 's acquisition of Sampo Bank for EUR 4bn was the largest cash deal in Finland 's economic history .",1,neutral,original,—
Tech giant Microsoft announces a 10% cut in its workforce due to declining revenues in the fourth quarter.,0,negative,synthetic,mistral:7b
Poyry 's net sales in 2007 amounted to about EUR 720 million and it employs 7400 experts .,1,neutral,original,—
"Tech giant Amazon reports a 20% surge in Q3 profits, exceeding analysts' expectations.",2,positive,synthetic,mistral:7b
Loss after taxes amounted to EUR 1.2 mn compared to a loss of 2.6 mn .,2,positive,original,—
Finland 's dominating rail company VR is planning to set the infected passengers for long-distance trip in a separate carriage .,1,neutral,original,—
"In 2007 , Etteplan had turnover of EUR125 .2 m.",1,neutral,original,—
The tool is a patent pending design that allows consumers to lay out their entire project on a removable plate using multiple clear stamps of any kind .,1,neutral,original,—
"Q3 earnings exceed expectations, reporting a 15% year-on-year increase in profits.",2,positive,synthetic,mistral:7b
"In the second quarter of 2010 , the company 's net profit was EUR1 .7 m compared to a net loss of EUR1 .3 m in April-June 2009 .",2,positive,original,—
The report contains category level company and brand share as well as distribution share information for 2007 and 2008 .,1,neutral,original,—
Our tools are specifically designed with the needs of both the business users and ICT experts in mind .,1,neutral,original,—
Operating result including non-recurring items rose to EUR 146mn from a loss of EUR 267mn in 2009 .,2,positive,original,—
"Exports of goods fell by 59 % , and imports by 16.7 % .",0,negative,original,—
IBM announces the launch of its new AI-powered cloud service for small businesses.,1,neutral,synthetic,mistral:7b
"Microsoft announces a new cloud-based service for small businesses, set to launch in Q3 2023.",1,neutral,synthetic,mistral:7b
"Our in-depth expertise extends to the fields of energy , industry , urban & mobility and water & environment .",1,neutral,original,—
The Group 's revenue in 2009 amounted to EUR 70 million and the company currently employs approximately 780 people .,1,neutral,original,—
"Making matters more difficult , the company said it has been grappling with higher oil and gas prices , which have pushed up the cost of energy , raw materials and transportation .",0,negative,original,—
"Typical end-uses include roof structures , floorings , walls and ceilings , non-visible structures in vehicles , packaging and boxes , construction site structures , fencing and shelters , and formwork with a limited number of concrete pourings .",1,neutral,original,—
"The company generates net sales of about 600 mln euro $ 775.5 mln annually and employs 6,000 .",1,neutral,original,—
"As part of the reorganization , Kauko-Telko Ltd will be divided into Telko Ltd , Leipurin Ltd , Hamina Terminal Services Ltd and Kaukomarkkinat Ltd. .",1,neutral,original,—
"Kalnapilio-Tauro Grupe ( Kalnapilis-Tauras Group ) , which is owned by Denmark 's Royal Unibrew , raised its market share to 25.18 percent from 23.74 percent , as beer sales for the seven months jumped by 14.5 percent to 40.5 million liters .",2,positive,original,—
Microsoft announces the launch of its new cloud-based collaboration platform for small businesses.,1,neutral,synthetic,mistral:7b
Ruukki Group calculates that it has lost EUR 4mn in the failed project .,0,negative,original,—
Vacon controls a further 5 % of the company via investment fund Power Fund I. EUR 1.0 = USD 1.397,1,neutral,original,—
Goldman Sachs announces the appointment of Jane Thompson as Head of European Equities.,1,neutral,synthetic,mistral:7b
The first phase will be completed by the end of 2012 .,1,neutral,original,—
"Q3 earnings reveal a 15% revenue growth for tech giant XYZ, exceeding analyst estimates.",2,positive,synthetic,mistral:7b
An EU law on the issue may be introduced around 2010 .,1,neutral,original,—
"3 January 2011 - Scandinavian lenders Sampo Bank ( HEL : SAMAS ) , Pohjola Bank ( HEL : POH1S ) and Svenska Handelsbanken ( STO : SHB A ) have provided a EUR160m ( USD213m ) line of credit to Lemminkainen Oyj ( HEL : LEM1S ) , the Finnish construction firm said on Friday .",1,neutral,original,—
"Salcomp Oyj , the Finnish maker of mobile phone chargers , Monday posted a EUR1 .49 million loss in the second quarter compared with a 1.70 million profit in the same period the previous year .",0,negative,original,—
It will provide heating in the form of hot water for the sawmill 's needs .,1,neutral,original,—
This would be a huge process .,1,neutral,original,—
Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales .,2,positive,original,—
Company X announces a 15% decline in Q2 revenues compared to the same period last year.,0,negative,synthetic,mistral:7b
"Tech giant Microsoft announces a new cloud computing service expansion in Europe, set to launch next quarter.",1,neutral,synthetic,mistral:7b
"CS Cabot exports 55 % of its production mainly to Goodyear , Bridgestone and Michelin plants in Poland , as well as to Germany 's Michelin or Italy 's Pirelli through the company 's logistics center in Paris , Stefan said .",1,neutral,original,—
"Loudeye Corp. , up $ 2.56 at $ 4.33 Nokia Corp. , down 10 cents at $ 19.46 Nokia agreed to buy the digital music distributor for $ 60 million .",1,neutral,original,—
The proposal by the Board of Directors on the issuance of option rights will otherwise correspond to the proposal by the Board of Directors in the Notice to the General Meeting .,1,neutral,original,—
"The Annual Report contains the financial statements , the consolidated financial statements , the report by the Board of Directors and the auditor 's report .",1,neutral,original,—
"For 2009 , net profit was EUR3m and the company paid a dividend of EUR1 .30 apiece .",1,neutral,original,—
In 2005 the bank posted a net profit of Lt 8.2 mn .,1,neutral,original,—
"( ADP News ) - Dec 11 , 2008 - Finnish construction and engineering company Outotec Oyj ( OMX : OTE1V ) said today it won a EUR 28 million ( USD 36.8 m ) order to expand the phosphate concentrator in Siilinjarvi of Norwegian minera",2,positive,original,—
"Both operating profit and net sales for the six-month period increased , respectively , from EUR13 .8 m and EUR143 .6 m , as compared to the corresponding period in 2007 .",2,positive,original,—
The contract is for next year .,1,neutral,original,—
You 're not alone .,1,neutral,original,—
Goldman Sachs announces the appointment of Jane Thompson as the new Global Head of Commodities Trading.,1,neutral,synthetic,mistral:7b
Name of Company in which holdings have been acquired : Citycon Oyj 2 .,1,neutral,original,—
This amount will not be included in the pensionable salary .,1,neutral,original,—
The expanded company will continue to be called NewPage .,1,neutral,original,—
Europe needs 17 new large paper machines .,1,neutral,original,—
"The company is now withdrawing the second part , EUR 7.2 mn , of the investment commitment .",1,neutral,original,—
Cargo volume increased by approximately 5 % .,2,positive,original,—
"Operating profit totalled EUR 83.0 mn , up from EUR 23.5 mn year-on-year .",2,positive,original,—
EUR 220 million of the transaction consideration was paid in the form of four-year interest-bearing vendor notes .,1,neutral,original,—
The new technology improves the glass quality and consistency while increasing throughput .,2,positive,original,—
The original contract was signed last summer .,1,neutral,original,—
Q3 earnings report reveals a 15% revenue growth for TechCorp compared to the same period last year.,2,positive,synthetic,mistral:7b
"The new company , DiaPol S.r.l. , would manufacture tools meant for glass and stone pre-processing .",1,neutral,original,—
"Amazon announces the launch of a new delivery service, Prime Air Express, aimed at reducing shipping times for customers.",1,neutral,synthetic,mistral:7b
"Comparable operating profit for the quarter decreased from EUR510m while sales increased from EUR860m , as compared to the third quarter 2007 .",0,negative,original,—
"Tech giant Microsoft announces the launch of a new cloud-based AI platform for small businesses, set to roll out next month.",1,neutral,synthetic,mistral:7b
No changes regarding the Virala Oy Ab s ownership of shares of Tiimari has taken place .,1,neutral,original,—
Tech giant Apple Inc. announced a new strategic partnership with IBM for enhancing cloud services and AI integration in their respective businesses.,1,neutral,synthetic,mistral:7b
"Both operating profit and net sales for the 12-month period increased , respectively from EUR4 .7 m and EUR26 .7 m , as compared to 2004 .",2,positive,original,—
"Thanks to his wide contact network and good knowledge of market and business environment , he will give a great contribution to the further development of our Indian operations '' , tells Incap 's President & CEO Juhani Hanninen .",2,positive,original,—
"Apple Inc. announces the launch of a new product line, the HomePod Mini, set to hit markets in October.",1,neutral,synthetic,mistral:7b
The company said that its comparable operating profit for the January-June period fell short of last year 's corresponding performance .,0,negative,original,—
"`` The transaction strengthens our position ... in design and branded goods , '' said Fiskars president and CEO Heikki Allonen , pointing out that the two groups have relatively few overlapping operations .",2,positive,original,—
"Citigroup , Inc ( NYSE : C ) has announced that its Global Transaction Services ( GTS ) business has been awarded a new mandate by Finland-based Pohjola Bank Group .",2,positive,original,—
"In Q1 of 2010 , Bank of +àland 's net interest income increased from EUR 9.1 mn to EUR 9.7 mn .",2,positive,original,—
Q4 earnings report reveals a 15% year-over-year profit increase for tech giant Apple Inc.,2,positive,synthetic,mistral:7b
The company 's share is quoted on NASDAQ OMX Helsinki Rautaruukki Oyj : RTRKS .,1,neutral,original,—
IBM announces the launch of its new cloud-based data analytics platform for small businesses.,1,neutral,synthetic,mistral:7b
Increase in the number of shares is based on the option rights which were granted to the management of the company under the stock option plan 2006 .,1,neutral,original,—
"Tech giant Microsoft announces the launch of its new cloud service for small businesses, set to roll out globally within Q3 2023.",1,neutral,synthetic,mistral:7b
"Under the rental agreement , Stockmann was committed to invest in the building of a bridge over the Gogol Street or build an underground tunnel for crossing the street by 2004 .",1,neutral,original,—
"Biohit Oyj develops , manufactures and markets liquid handling products and diagnostic test systems for use in research , healthcare and industrial laboratories .",1,neutral,original,—
Teleste and Sentry 360 have formed an integration partnership between Sentry s advanced 360-degree immersive camera product line and Teleste s enterprise video management systems .,2,positive,original,—
"`` Soon after , the collisions started . ''",1,neutral,original,—
"RAPALA TOURNAMENT FISHING : With all the major titles already out for the holidays , bargain-priced games such as Rapala aim for a smaller audience .",1,neutral,original,—
The investment will be worth approximately EUR 100mn .,1,neutral,original,—
"The fair value of investment properties totalled EUR 2,299.9 mn , compared to EUR 2,229.5 mn in the corresponding period in 2009 .",2,positive,original,—
Bluewin Security is available as a monthly subscription .,1,neutral,original,—
The company does not disclose the sum it applied for .,1,neutral,original,—
"Aldata Solution Oyj Bertrand Sciard President and CEO Further information : Aldata Solution Oyj , Bertrand Sciard , President and CEO , tel. +33 1 46 48 28 00 Aldata 100 % Retail-Wholesale At Aldata 100 % of our business is dedicated to retail and wholesale business improvement .",1,neutral,original,—
"XYZ Corporation announces the appointment of Jane Smith as its new Chief Financial Officer, effective immediately.",1,neutral,synthetic,mistral:7b
"Yara Suomi Ltd also provides nitrogen chemicals and technical nitrates to various sectors of industry , as well as products used in environmental protection .",1,neutral,original,—
"( ADPnews ) - Dec 30 , 2009 - Finnish investment group Neomarkka Oyj ( HEL : NEMBV ) said today that it will furlough employee in its unit Reka Cables Ltd for less than 90 days , starting in January 2010 .",1,neutral,original,—
"Comparable operating profit totaled EUR 4.7 mn , down from EUR 5.1 mn in the corresponding period in 2005 , representing 7.4 % of net sales .",0,negative,original,—
